POSTO,Data,Dia m3/s,NÍVEL RES. (m),VOLUME (%VU) ARM. nan,nan ESP. nan,VAZÃO (m3/s) TUR. nan,nan VER. nan,nan OTR. nan,nan DFL. nan,nan TRA. nan,nan AFL. nan,nan INC. nan,nan Usos Con.,nan EVP. nan,nan ART. nan
94,2020-08-09,682,264.28,27.71,-,323,105,0,428,0,546,100,4.41,2.7,0
286,2020-08-09,37,546.76,53.08,-,1,0,0,2,0,36,37,0.09,0.06,0
102,2020-08-09,251,154.5,83.0,-,270,0,0,270,0,254,251,0.56,0.44,0
103,2020-08-09,263,128.06,78.04,-,231,43,0,274,0,270,9,0.58,0.57,0
110,2020-08-09,31,489.68,105.47,-,0,32,0,47,0,30,31,0.02,0.85,0
111,2020-08-09,233,324.99,87.02,88.95,170,0,0,170,0,242,194,0.34,8.11,0
112,2020-08-09,234,277.19,52.97,-,166,0,0,166,0,168,1,0.35,0.08,0
113,2020-08-09,257,182.68,88.75,-,89,0,0,89,0,190,19,0.42,0.66,0
114,2020-08-09,279,91.53,14.42,-,262,0,0,262,0,113,22,0.47,0.72,0
98,2020-08-09,71,239.25,25.0,-,49,0,0,67,0,70,71,0.26,0.15,0
97,2020-08-09,125,147.35,33.56,-,108,20,0,128,0,131,58,1.04,0.02,0
284,2020-08-09,131,103.3,30.0,-,103,0,0,131,0,134,7,1.47,0.06,0
115,2020-08-09,6,834.56,36.03,-,10,0,0,10,0,7,6,0.07,0.12,0
101,2020-08-09,13,319.25,220.87,-,0,6,0,13,0,13,13,0.22,0.0,0
278,2020-08-09,71,282.97,51.37,-,123,0,0,123,0,62,71,0.3,12.82,0
259,2020-08-09,41,411.79,68.18,-,40,0,0,40,0,41,41,0.56,0.05,0
281,2020-08-09,62,395.09,64.89,-,52,11,0,63,0,61,62,1.12,0.37,0
295,2020-08-09,56,354.97,93.33,-,60,0,0,61,0,60,56,0.09,0.05,0
121,2020-08-09,33,703.61,39.32,-,96,0,0,96,0,19,33,0.2,3.26,0
122,2020-08-09,37,613.45,38.66,100,115,0,0,115,0,102,3,0.23,0.37,0
120,2020-08-09,9,615.33,52.65,-,44,0,0,44,8,8,9,0.13,1.15,0
123,2020-08-09,76,455.22,39.1,100,182,0,0,182,0,179,35,10.22,0.72,0
125,2020-08-09,87,352.35,64.14,-,0,72,0,72,122,190,11,11.07,0.02,0
197,2020-08-09,15,659.03,65.45,-,14,0,0,15,0,15,15,0.11,0.02,0
198,2020-08-09,36,436.96,66.67,-,32,0,0,34,0,34,20,0.87,0.0,0
129,2020-08-09,194,251.36,86.0,-,94,0,0,94,61,164,55,14.17,0.0,132
126,2020-08-09,61,251.11,92.48,-,60,0,0,60,0,61,0,0.0,0.0,61
130,2020-08-09,235,139.85,93.04,-,197,0,0,197,0,202,40,15.42,0.04,173
201,2020-08-09,5,442.45,14.52,-,0,0,0,4,4,4,5,0.04,0.0,0
202,2020-08-09,2,413.71,91.35,-,0,0,0,11,-4,8,2,0.03,0.48,7
203,2020-08-09,8,362.81,57.92,-,0,0,0,0,123,0,2,0.0,0.0,57
315,2020-08-09,57,362.81,57.92,-,0,0,0,0,123,0,2,0.0,0.0,57
316,2020-08-09,57,398.46,80.74,-,0,0,0,142,0,0,0,0.0,0.0,57
303,2020-08-09,7,398.6,0.0,-,27,0,0,27,0,0,0,0.03,0.0,7
131,2020-08-09,57,398.6,0.0,-,114,0,0,114,0,0,0,0.03,0.0,57
306,2020-08-09,64,86.15,90.6,-,124,0,0,124,0,0,0,0.03,0.04,64
262,2020-08-09,28,494.37,77.66,-,26,0,0,26,0,27,28,0.67,0.03,0
183,2020-08-09,31,371.93,66.67,-,29,0,0,29,0,28,3,0.68,0.01,0
134,2020-08-09,52,354.16,76.51,-,35,0,0,35,0,51,52,0.36,0.2,0
263,2020-08-09,53,252.88,46.44,-,45,0,0,45,0,30,2,0.39,0.13,0
149,2020-08-09,70,312.34,0.0,-,0,71,0,71,0,70,70,1.47,0.05,0
141,2020-08-09,204,184.71,40.2,-,212,0,0,212,0,213,53,6.76,0.24,0
148,2020-08-09,285,89.88,70.43,-,245,16,0,261,0,254,84,10.06,0.54,0
144,2020-08-09,328,59.66,12.38,-,329,0,0,329,0,321,42,12.99,0.12,0
196,2020-08-09,18,554.99,99.71,-,16,0,0,18,0,18,18,0.2,0.01,0
283,2020-08-09,38,85.98,99.56,-,34,0,0,34,0,37,38,1.25,0.05,0
255,2020-08-09,17,500.79,68.84,100,48,0,0,48,0,11,17,0.5,5.1,0
188,2020-08-09,35,109.42,78.96,-,216,0,0,216,0,176,19,4.46,1.55,0
